/home/uceedv1/thesis/ns3ai-venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
[TopoAgnosticMARLEnv] 17 topos: atlanta_sndlib(15n), cost266_sndlib(37n), dfn-bwin_sndlib(10n), dfn-gwin_sndlib(11n), di-yuan_sndlib(11n), france_sndlib(25n), india35_sndlib(35n), janos-us_sndlib(26n), newyork_sndlib(16n), nobel-eu_sndlib(28n), nobel-germany_sndlib(17n), nobel-us_sndlib(14n), norway_sndlib(27n), pdh_sndlib(11n), polska_sndlib(12n), ta1_sndlib(24n), zib54_sndlib(54n); stretch=2 max_stretch=4 fail_links=0 metric=weighted
[tier2] train on 17 topos (tmgen traffic), zero-shot test on ['abilene_sndlib', 'geant_sndlib', 'germany50_sndlib']; seed=8 updates=732
  upd   5/732  ep_ret~-413.82  pl -0.023  vl 6.206  ent 0.403
  upd  10/732  ep_ret~-277.88  pl +0.104  vl 98.397  ent 0.530
  upd  15/732  ep_ret~-386.68  pl -0.066  vl 2.783  ent 0.476
  upd  20/732  ep_ret~-388.97  pl -0.069  vl 2.301  ent 0.726
  upd  25/732  ep_ret~-236.69  pl -0.066  vl 11.168  ent 0.510
  upd  30/732  ep_ret~-244.57  pl +0.051  vl 3.498  ent 0.358
  upd  35/732  ep_ret~-161.93  pl +0.062  vl 90.973  ent 0.354
  upd  40/732  ep_ret~-212.40  pl -0.022  vl 3.572  ent 0.413
  upd  45/732  ep_ret~-247.85  pl -0.076  vl 4.406  ent 0.609
  upd  50/732  ep_ret~-350.12  pl -0.040  vl 0.592  ent 0.474
  upd  55/732  ep_ret~-360.49  pl -0.027  vl 0.965  ent 0.354
  upd  60/732  ep_ret~-265.61  pl -0.007  vl 6.365  ent 0.310
  upd  65/732  ep_ret~-158.34  pl +0.120  vl 46.414  ent 0.331
  upd  70/732  ep_ret~-138.83  pl +0.111  vl 51.617  ent 0.418
  upd  75/732  ep_ret~-288.45  pl +0.062  vl 1.381  ent 0.366
  upd  80/732  ep_ret~-275.48  pl +0.003  vl 4.992  ent 0.587
  upd  85/732  ep_ret~-302.26  pl +0.072  vl 4.956  ent 0.345
  upd  90/732  ep_ret~-206.79  pl -0.116  vl 7.066  ent 0.315
  upd  95/732  ep_ret~-177.40  pl -0.025  vl 1.394  ent 0.284
  upd 100/732  ep_ret~-235.13  pl +0.009  vl 26.121  ent 0.364
  upd 105/732  ep_ret~-221.72  pl -0.004  vl 5.172  ent 0.395
  upd 110/732  ep_ret~-208.27  pl -0.016  vl 1.693  ent 0.320
  upd 115/732  ep_ret~-226.73  pl -0.080  vl 2.590  ent 0.246
  upd 120/732  ep_ret~-169.97  pl -0.021  vl 8.749  ent 0.245
  upd 125/732  ep_ret~-187.17  pl +0.030  vl 2.304  ent 0.257
  upd 130/732  ep_ret~-176.65  pl +0.010  vl 2.087  ent 0.184
  upd 135/732  ep_ret~-231.72  pl +0.037  vl 3.119  ent 0.334
  upd 140/732  ep_ret~-148.91  pl -0.074  vl 10.019  ent 0.421
  upd 145/732  ep_ret~-186.64  pl -0.070  vl 12.671  ent 0.360
  upd 150/732  ep_ret~-217.48  pl -0.032  vl 14.735  ent 0.188
  upd 155/732  ep_ret~-197.67  pl +0.135  vl 15.420  ent 0.354
  upd 160/732  ep_ret~-111.58  pl -0.041  vl 17.842  ent 0.336
  upd 165/732  ep_ret~-394.67  pl +0.026  vl 5.715  ent 0.317
  upd 170/732  ep_ret~-174.42  pl -0.037  vl 16.052  ent 0.243
  upd 175/732  ep_ret~-398.93  pl -0.018  vl 1.102  ent 0.374
  upd 180/732  ep_ret~-390.93  pl +0.066  vl 1.137  ent 0.396
  upd 185/732  ep_ret~-173.49  pl -0.039  vl 13.295  ent 0.209
  upd 190/732  ep_ret~-147.30  pl +0.015  vl 1.464  ent 0.224
  upd 195/732  ep_ret~-266.01  pl -0.049  vl 6.628  ent 0.271
  upd 200/732  ep_ret~-283.55  pl -0.039  vl 8.592  ent 0.446
  upd 205/732  ep_ret~-209.00  pl +0.029  vl 5.629  ent 0.333
  upd 210/732  ep_ret~-140.38  pl -0.036  vl 8.829  ent 0.336
  upd 215/732  ep_ret~-302.61  pl -0.082  vl 10.279  ent 0.421
  upd 220/732  ep_ret~-165.99  pl -0.022  vl 9.455  ent 0.267
  upd 225/732  ep_ret~-223.63  pl +0.022  vl 6.480  ent 0.251
  upd 230/732  ep_ret~-190.80  pl -0.017  vl 33.808  ent 0.374
  upd 235/732  ep_ret~-171.71  pl +0.003  vl 5.865  ent 0.356
  upd 240/732  ep_ret~-266.00  pl -0.078  vl 6.266  ent 0.234
  upd 245/732  ep_ret~-235.51  pl -0.039  vl 9.567  ent 0.331
  upd 250/732  ep_ret~-276.85  pl +0.050  vl 6.484  ent 0.471
